Nama,Brand,Rilis,Harga_Varian,RAM,Memori_Internal,Chipset,Kamera_Utama,Baterai,Charger,OS,URL
iPad mini A17 Pro (WiFi + Cellular) (8GB/512GB),APPLE,2024,18249000,8,512,Apple A17 Pro,12 MP • Wide • f/1.8,5078,10,iPadOS 18,https://carisinyal.com/hp/apple-ipad-mini-5g/
iPad mini A17 Pro (WiFi) (8GB/128GB),APPLE,2024,9399000,8,128,Apple A17 Pro,12 MP • Wide • f/1.8,5078,10,iPadOS 18,https://carisinyal.com/hp/apple-ipad-mini-2024/
iPad mini A17 Pro (WiFi) (8GB/256GB),APPLE,2024,11349000,8,256,Apple A17 Pro,12 MP • Wide • f/1.8,5078,10,iPadOS 18,https://carisinyal.com/hp/apple-ipad-mini-2024/
iPad mini A17 Pro (WiFi) (8GB/512GB),APPLE,2024,15349000,8,512,Apple A17 Pro,12 MP • Wide • f/1.8,5078,10,iPadOS 18,https://carisinyal.com/hp/apple-ipad-mini-2024/
iPad Pro 13 M4 (WiFi) (8GB/256GB),APPLE,2024,22999000,8,256,Apple M4,12 MP • Wide • f/1.8 ; ToF,10340,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-13-m4-wifi/
iPad Pro 13 M4 (WiFi) (8GB/512GB),APPLE,2024,26499000,8,512,Apple M4,12 MP • Wide • f/1.8 ; ToF,10340,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-13-m4-wifi/
iPad Pro 13 M4 (WiFi) (16GB/1024GB),APPLE,2024,34499000,16,1024,Apple M4,12 MP • Wide • f/1.8 ; ToF,10340,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-13-m4-wifi/
iPad Pro 13 M4 (WiFi) (16GB/2048GB),APPLE,2024,42499000,16,2048,Apple M4,12 MP • Wide • f/1.8 ; ToF,10340,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-13-m4-wifi/
iPad Pro 11 M4 (WiFi) (8GB/256GB),APPLE,2024,16999000,8,256,Apple M4,12 MP • Wide • f/1.8 ; ToF,8300,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-11-m4-wifi/
iPad Pro 11 M4 (WiFi) (8GB/512GB),APPLE,2024,20999000,8,512,Apple M4,12 MP • Wide • f/1.8 ; ToF,8300,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-11-m4-wifi/
iPad Pro 11 M4 (WiFi) (16GB/1024GB),APPLE,2024,28999000,16,1024,Apple M4,12 MP • Wide • f/1.8 ; ToF,8300,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-11-m4-wifi/
iPad Pro 11 M4 (WiFi) (16GB/2048GB),APPLE,2024,36999000,16,2048,Apple M4,12 MP • Wide • f/1.8 ; ToF,8300,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-pro-11-m4-wifi/
iPad Air 13 M2 (WiFi) (8GB/128GB),APPLE,2024,11999000,8,128,Apple M2,12 MP • Wide • f/1.8,10758,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-air-13-m2-wifi/
iPad Air 13 M2 (WiFi) (8GB/256GB),APPLE,2024,13499000,8,256,Apple M2,12 MP • Wide • f/1.8,10758,20,iPadOS 17.4,https://carisinyal.com/hp/apple-ipad-air-13-m2-wifi/
